Location,Time,PopMale,PopFemale,PopTotal,PopDensity
Afghanistan,2020,19976.265,18952.076,38928,59.627
Africa,2020,669878.34,670719.773,1340598,45.216
Albania,2020,1464.714,1413.086,2878,105.029
Algeria,2020,22153.808,21697.235,43851,18.411
American Samoa,2020,,,55,275.985
Andorra,2020,,,77,164.394
Angola,2020,16260.87,16605.398,32866,26.363
Anguilla,2020,,,15,166.689
Antigua and Barbuda,2020,47.269,50.659,98,222.564
Argentina,2020,22049.146,23146.631,45196,16.515
Armenia,2020,1393.747,1569.487,2963,104.083
Aruba,2020,50.642,56.124,107,593.144
Asia,2020,2373462.035,2267592.751,4641055,149.552
Australia,2020,12698.625,12801.256,25500,3.319
Australia/New Zealand,2020,15068.788,15253.326,30322,3.816
Austria,2020,4439.691,4566.709,9006,109.289
Azerbaijan,2020,5064.664,5074.511,10139,122.664
Bahamas,2020,191.093,202.155,393,39.286
Bahrain,2020,1100.474,601.109,1702,2238.925
Bangladesh,2020,83259.108,81430.275,164689,1265.187
Barbados,2020,139.084,148.287,287,668.305
Belarus,2020,4399.367,5049.954,9449,46.569
Belgium,2020,5744.335,5845.281,11590,382.748
Belize,2020,197.761,199.86,398,17.432
Benin,2020,6054.248,6068.95,12123,107.513
Bermuda,2020,,,62,1245.46
Bhutan,2020,410.087,361.525,772,20.243
Bolivia,2020,5858.019,5815.01,11673,10.775
"Bonaire, Sint Eustatius and Saba",2020,,,26,79.942
Bosnia and Herzegovina,2020,1606.609,1674.206,3281,64.33
Botswana,2020,1139.099,1212.526,2352,4.149
Brazil,2020,104435.783,108123.626,212559,25.431
British Virgin Islands,2020,,,30,201.58
Brunei,2020,226.987,210.496,437,83.014
Bulgaria,2020,3374.121,3574.324,6948,64.006
Burkina Faso,2020,10444.713,10458.565,20903,76.401
Burundi,2020,5899.864,5990.917,11891,463.037
Cabo Verde,2020,279.117,276.871,556,137.962
Cambodia,2020,8162.424,8556.547,16719,94.714
Cameroon,2020,13277.075,13268.789,26546,56.157
Canada,2020,18732.178,19009.979,37742,4.15
Caribbean,2020,21494.216,22038.158,43532,192.613
Cayman Islands,2020,,,66,273.833
Central African Republic,2020,2394.042,2435.722,4830,7.753
Central America,2020,88051.465,91618.721,179670,73.267
Central Asia,2020,36812.175,37526.751,74339,18.931
Central and Southern Asia,2020,1037597.732,977110.799,2014709,195.093
Chad,2020,8200.17,8225.689,16426,13.045
Channel Islands,2020,86.07,87.789,174,915.047
Chile,2020,9425.669,9690.54,19116,25.71
China,2020,738247.34,701076.434,1439324,153.312
Hong Kong,2020,3439.666,4057.322,7497,7139.989
Macau,2020,312.1,337.242,649,21717.124
Taiwan,2020,11834.313,11982.462,23817,672.6
Colombia,2020,24984.564,25898.32,50883,45.861
Comoros,2020,438.653,430.942,870,467.273
Congo,2020,2756.678,2761.414,5518,16.158
Cook Islands,2020,,,18,73.183
Costa Rica,2020,2545.076,2549.038,5094,99.767
Croatia,2020,1979.292,2125.976,4105,73.361
Cuba,2020,5623.468,5703.148,11327,106.413
Curecao,2020,75.469,88.631,164,369.595
Cyprus,2020,603.514,603.847,1207,130.667
Czechia,2020,5272.522,5436.46,10709,138.646
Cote d'Ivoire,2020,13300.38,13077.895,26378,82.951
North Korea,2020,12608.379,13170.436,25779,214.092
Democratic Republic of the Congo,2020,44710.172,44851.232,89561,39.506
Denmark,2020,2879.361,2912.842,5792,136.512
Djibouti,2020,518.993,469.009,988,42.623
Dominica,2020,,,72,95.988
Dominican Republic,2020,5418.206,5429.698,10848,224.501
Eastern Africa,2020,221039.935,224365.643,445406,66.803
Eastern Asia,2020,855475.736,822613.891,1678090,145.158
Eastern Europe,2020,137829.972,155183.238,293013,16.231
Eastern and South-Eastern Asia,2020,1189407.443,1157302.038,2346709,147.581
Ecuador,2020,8823.827,8819.233,17643,71.038
Egypt,2020,51702.862,50631.541,102334,102.802
El Salvador,2020,3036.424,3449.777,6486,313.041
Equatorial Guinea,2020,780.38,622.605,1403,50.017
Eritrea,2020,1777.548,1768.879,3546,35.113
Estonia,2020,628.456,698.083,1327,31.294
Eswatini,2020,570.236,589.928,1160,67.451
Ethiopia,2020,57516.835,57446.748,114964,114.964
Europe,2020,361060.973,386575.072,747636,33.776
Europe,2020,361060.973,386575.072,747636,33.776
Europe and Northern America,2020,543641.495,572864.194,1116506,27.374
Falkland Islands,2020,,,3,0.286
Faroe Islands,2020,,,49,35.004
Fiji,2020,454.018,442.426,896,49.066
Finland,2020,2732.406,2808.312,5541,18.233
France,2020,31589.195,33684.317,65274,119.209
French Guiana,2020,147.75,150.932,299,3.634
French Polynesia,2020,142.261,138.643,281,76.75
Gabon,2020,1132.854,1092.874,2226,8.638
Gambia,2020,1198.54,1218.124,2417,238.801
